"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3236","survey-text","0","3237","","","","","",""
"","fullscreen","1","5447","","","","","",""
"1603","instructions","2","7050","","","","","",""
"","html-keyboard-response","3","7972","","","","","",""
"","visual-array-stimuli","4","8286","4","30,83,123,184,139,239,89,202","purple,green,red,blue","","",""
"","html-keyboard-response","5","9186","","","","","",""
"614","visual-array-response","6","9803","","","","false","83","true"
"","html-keyboard-response","7","10810","","","","","",""
"","html-keyboard-response","8","11723","","","","","",""
"","visual-array-stimuli","9","12039","6","184,120,84,199,20,124,80,31,48,114,199,175","white,black,yellow,white,purple,yellow","","",""
"","html-keyboard-response","10","12943","","","","","",""
"2","visual-array-response","11","12948","","","","false","75","false"
"","html-keyboard-response","12","13954","","","","","",""
"","html-keyboard-response","13","14874","","","","","",""
"","visual-array-stimuli","14","15188","8","160,84,99,175,38,68,169,202,120,155,106,209,137,20,99,24","black,red,purple,green,black,white,blue,blue","","",""
"","html-keyboard-response","15","16098","","","","","",""
"49","visual-array-response","16","16149","","","","false","83","true"
"","html-keyboard-response","17","17171","","","","","",""
"","html-keyboard-response","18","18081","","","","","",""
"","visual-array-stimuli","19","18383","4","183,226,183,117,101,82,209,152","red,green,purple,black","","",""
"","html-keyboard-response","20","19284","","","","","",""
"152","visual-array-response","21","19441","","","","true","83","false"
"","html-keyboard-response","22","20451","","","","","",""
"","html-keyboard-response","23","21365","","","","","",""
"","visual-array-stimuli","24","21670","8","127,47,109,22,123,184,46,202,47,132,234,165,212,127,148,150","yellow,white,blue,purple,blue,black,black,yellow","","",""
"","html-keyboard-response","25","22579","","","","","",""
"100","visual-array-response","26","22681","","","","false","75","false"
"","html-keyboard-response","27","23691","","","","","",""
"","html-keyboard-response","28","24610","","","","","",""
"","visual-array-stimuli","29","24925","8","140,76,172,201,189,222,130,130,235,162,145,108,210,150,49,205","purple,yellow,green,yellow,blue,white,purple,yellow","","",""
"","html-keyboard-response","30","25835","","","","","",""
"217","visual-array-response","31","26054","","","","false","83","true"
"","html-keyboard-response","32","27059","","","","","",""
"","html-keyboard-response","33","27974","","","","","",""
"","visual-array-stimuli","34","28277","8","90,27,130,130,226,183,50,153,57,90,138,47,60,215,149,78","blue,white,yellow,red,white,blue,red,yellow","","",""
"","html-keyboard-response","35","29189","","","","","",""
"28","visual-array-response","36","29220","","","","false","75","false"
"","html-keyboard-response","37","30232","","","","","",""
"","html-keyboard-response","38","31133","","","","","",""
"","visual-array-stimuli","39","31438","4","155,51,66,76,20,128,193,183","green,yellow,purple,yellow","","",""
"","html-keyboard-response","40","32341","","","","","",""
"685","visual-array-response","41","33027","","","","true","75","true"
"","html-keyboard-response","42","34029","","","","","",""
"","html-keyboard-response","43","34934","","","","","",""
"","visual-array-stimuli","44","35237","6","47,130,96,234,130,212,161,53,171,231,134,103","white,red,red,blue,black,purple","","",""
"","html-keyboard-response","45","36141","","","","","",""
"267","visual-array-response","46","36411","","","","true","83","false"
"","html-keyboard-response","47","37412","","","","","",""
"","html-keyboard-response","48","38313","","","","","",""
"","visual-array-stimuli","49","38621","6","179,196,109,49,235,97,178,103,70,222,106,179","green,white,purple,blue,black,black","","",""
"","html-keyboard-response","50","39526","","","","","",""
"31","visual-array-response","51","39558","","","","false","83","true"
"","html-keyboard-response","52","40565","","","","","",""
"","html-keyboard-response","53","41470","","","","","",""
"","visual-array-stimuli","54","41773","6","62,178,120,184,75,137,46,57,20,128,213,202","yellow,blue,red,purple,white,yellow","","",""
"","html-keyboard-response","55","42677","","","","","",""
"31","visual-array-response","56","42710","","","","true","75","true"
"","html-keyboard-response","57","43717","","","","","",""
"","html-keyboard-response","58","44620","","","","","",""
"","visual-array-stimuli","59","44925","4","189,37,80,31,78,64,20,124","red,white,red,black","","",""
"","html-keyboard-response","60","45828","","","","","",""
"163","visual-array-response","61","45992","","","","false","75","false"
"","html-keyboard-response","62","46997","","","","","",""
"","fullscreen","63","48005","","","","","",""
"","html-keyboard-response","64","48110","","","","","",""
