"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4701","survey-text","0","4702","","","","","",""
"","fullscreen","1","6911","","","","","",""
"1388","instructions","2","8300","","","","","",""
"","html-keyboard-response","3","9201","","","","","",""
"","visual-array-stimuli","4","9514","4","33,183,128,239,212,133,202,46","purple,white,purple,black","","",""
"","html-keyboard-response","5","10426","","","","","",""
"391","visual-array-response","6","10817","","","","true","83","false"
"","html-keyboard-response","7","11825","","","","","",""
"","html-keyboard-response","8","12737","","","","","",""
"","visual-array-stimuli","9","13050","6","152,237,185,68,20,133,47,134,68,74,128,156","yellow,red,purple,blue,white,red","","",""
"","html-keyboard-response","10","13951","","","","","",""
"1","visual-array-response","11","13953","","","","true","83","false"
"","html-keyboard-response","12","14960","","","","","",""
"","html-keyboard-response","13","15874","","","","","",""
"","visual-array-stimuli","14","16189","4","201,88,90,232,79,195,81,156","purple,red,yellow,green","","",""
"","html-keyboard-response","15","17090","","","","","",""
"289","visual-array-response","16","17380","","","","false","83","true"
"","html-keyboard-response","17","18385","","","","","",""
"","html-keyboard-response","18","19300","","","","","",""
"","visual-array-stimuli","19","19615","8","172,28,37,70,20,143,103,129,79,64,239,116,78,148,182,145","blue,blue,green,white,purple,black,blue,white","","",""
"","html-keyboard-response","20","20527","","","","","",""
"289","visual-array-response","21","20818","","","","false","83","true"
"","html-keyboard-response","22","21819","","","","","",""
"","html-keyboard-response","23","22733","","","","","",""
"","visual-array-stimuli","24","23047","8","48,115,239,137,218,65,156,23,41,194,141,239,124,75,103,236","white,blue,green,green,blue,green,red,black","","",""
"","html-keyboard-response","25","23960","","","","","",""
"29","visual-array-response","26","23991","","","","true","83","false"
"","html-keyboard-response","27","25002","","","","","",""
"","html-keyboard-response","28","25916","","","","","",""
"","visual-array-stimuli","29","26229","4","208,102,217,196,167,89,24,97","white,green,yellow,white","","",""
"","html-keyboard-response","30","27146","","","","","",""
"114","visual-array-response","31","27261","","","","false","83","true"
"","html-keyboard-response","32","28267","","","","","",""
"","html-keyboard-response","33","29170","","","","","",""
"","visual-array-stimuli","34","29480","8","224,73,104,121,145,151,209,153,153,50,202,213,50,106,77,194","green,green,purple,green,black,blue,blue,green","","",""
"","html-keyboard-response","35","30394","","","","","",""
"223","visual-array-response","36","30619","","","","true","83","false"
"","html-keyboard-response","37","31636","","","","","",""
"","html-keyboard-response","38","32548","","","","","",""
"","visual-array-stimuli","39","32863","6","137,239,47,137,193,183,75,127,23,156,236,103","yellow,red,red,purple,white,green","","",""
"","html-keyboard-response","40","33775","","","","","",""
"11","visual-array-response","41","33789","","","","false","83","true"
"","html-keyboard-response","42","34807","","","","","",""
"","html-keyboard-response","43","35717","","","","","",""
"","visual-array-stimuli","44","36032","4","210,148,148,49,105,237,42,196","purple,purple,green,green","","",""
"","html-keyboard-response","45","36934","","","","","",""
"115","visual-array-response","46","37050","","","","true","83","false"
"","html-keyboard-response","47","38052","","","","","",""
"","html-keyboard-response","48","38955","","","","","",""
"","visual-array-stimuli","49","39257","6","239,139,116,106,210,150,101,236,201,87,154,140","green,blue,red,yellow,white,purple","","",""
"","html-keyboard-response","50","40167","","","","","",""
"80","visual-array-response","51","40248","","","","false","83","true"
"","html-keyboard-response","52","41256","","","","","",""
"","html-keyboard-response","53","42171","","","","","",""
"","visual-array-stimuli","54","42485","8","116,153,50,152,136,75,28,87,235,97,143,239,123,184,70,222","purple,red,blue,yellow,yellow,red,blue,blue","","",""
"","html-keyboard-response","55","43399","","","","","",""
"145","visual-array-response","56","43546","","","","false","83","true"
"","html-keyboard-response","57","44562","","","","","",""
"","html-keyboard-response","58","45477","","","","","",""
"","visual-array-stimuli","59","45790","6","189,71,47,129,96,173,130,130,78,111,138,104","yellow,red,red,purple,green,green","","",""
"","html-keyboard-response","60","46697","","","","","",""
"118","visual-array-response","61","46816","","","","true","83","false"
"","html-keyboard-response","62","47831","","","","","",""
"","fullscreen","63","48837","","","","","",""
"","html-keyboard-response","64","48946","","","","","",""
