"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"2425","survey-text","0","2426","","","","","",""
"","fullscreen","1","4260","","","","","",""
"1375","instructions","2","5635","","","","","",""
"","html-keyboard-response","3","6549","","","","","",""
"","visual-array-stimuli","4","6862","8","75,133,224,73,208,157,104,120,238,147,93,55,166,204,51,102","black,black,blue,yellow,green,blue,red,black","","",""
"","html-keyboard-response","5","7775","","","","","",""
"104","visual-array-response","6","7883","","","","false","83","true"
"","html-keyboard-response","7","8902","","","","","",""
"","html-keyboard-response","8","9814","","","","","",""
"","visual-array-stimuli","9","10119","8","212,125,129,240,225,75,130,130,51,102,191,185,55,165,21,110","yellow,green,red,blue,purple,blue,blue,black","","",""
"","html-keyboard-response","10","11031","","","","","",""
"73","visual-array-response","11","11107","","","","false","83","true"
"","html-keyboard-response","12","12127","","","","","",""
"","html-keyboard-response","13","13043","","","","","",""
"","visual-array-stimuli","14","13360","6","141,239,138,155,119,183,75,136,191,38,52,100","purple,black,black,yellow,white,blue","","",""
"","html-keyboard-response","15","14271","","","","","",""
"20","visual-array-response","16","14293","","","","true","83","false"
"","html-keyboard-response","17","15305","","","","","",""
"","html-keyboard-response","18","16207","","","","","",""
"","visual-array-stimuli","19","16522","4","185,225,109,113,75,34,146,182","blue,black,white,green","","",""
"","html-keyboard-response","20","17438","","","","","",""
"121","visual-array-response","21","17560","","","","true","83","false"
"","html-keyboard-response","22","18566","","","","","",""
"","html-keyboard-response","23","19468","","","","","",""
"","visual-array-stimuli","24","19784","8","60,44,123,103,130,130,143,211,86,59,116,48,177,101,238,112","purple,blue,white,purple,purple,green,blue,blue","","",""
"","html-keyboard-response","25","20692","","","","","",""
"170","visual-array-response","26","20865","","","","true","83","false"
"","html-keyboard-response","27","21872","","","","","",""
"","html-keyboard-response","28","22785","","","","","",""
"","visual-array-stimuli","29","23097","4","53,50,186,69,122,20,125,184","yellow,red,yellow,green","","",""
"","html-keyboard-response","30","24014","","","","","",""
"119","visual-array-response","31","24134","","","","false","83","true"
"","html-keyboard-response","32","25141","","","","","",""
"","html-keyboard-response","33","26049","","","","","",""
"","visual-array-stimuli","34","26358","4","184,192,103,51,133,239,237,107","white,blue,yellow,green","","",""
"","html-keyboard-response","35","27261","","","","","",""
"204","visual-array-response","36","27467","","","","false","83","true"
"","html-keyboard-response","37","28475","","","","","",""
"","html-keyboard-response","38","29390","","","","","",""
"","visual-array-stimuli","39","29699","6","29,174,190,72,114,107,239,122,159,207,24,99","white,yellow,white,purple,yellow,purple","","",""
"","html-keyboard-response","40","30605","","","","","",""
"118","visual-array-response","41","30725","","","","true","83","false"
"","html-keyboard-response","42","31726","","","","","",""
"","html-keyboard-response","43","32636","","","","","",""
"","visual-array-stimuli","44","32941","6","235,99,170,92,113,211,103,128,198,176,81,31","white,purple,green,red,purple,purple","","",""
"","html-keyboard-response","45","33864","","","","","",""
"2","visual-array-response","46","33868","","","","false","83","true"
"","html-keyboard-response","47","34880","","","","","",""
"","html-keyboard-response","48","35793","","","","","",""
"","visual-array-stimuli","49","36097","6","24,160,48,114,82,61,110,149,176,159,83,100","yellow,red,yellow,green,red,black","","",""
"","html-keyboard-response","50","37005","","","","","",""
"139","visual-array-response","51","37147","","","","false","83","true"
"","html-keyboard-response","52","38161","","","","","",""
"","html-keyboard-response","53","39073","","","","","",""
"","visual-array-stimuli","54","39388","8","44,60,172,201,112,238,109,210,212,118,179,63,109,22,153,117","black,blue,purple,yellow,green,green,red,white","","",""
"","html-keyboard-response","55","40299","","","","","",""
"51","visual-array-response","56","40354","","","","true","83","false"
"","html-keyboard-response","57","41367","","","","","",""
"","html-keyboard-response","58","42275","","","","","",""
"","visual-array-stimuli","59","42593","4","130,130,110,111,147,238,100,83","purple,green,purple,yellow","","",""
"","html-keyboard-response","60","43508","","","","","",""
"171","visual-array-response","61","43680","","","","true","83","false"
"","html-keyboard-response","62","44693","","","","","",""
"","fullscreen","63","45703","","","","","",""
"","html-keyboard-response","64","45809","","","","","",""
