"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"5640","survey-text","0","5642","","","","","",""
"","fullscreen","1","7630","","","","","",""
"1794","instructions","2","9425","","","","","",""
"","html-keyboard-response","3","10342","","","","","",""
"","visual-array-stimuli","4","10656","6","20,124,179,228,53,163,212,128,128,47,154,22","yellow,blue,yellow,white,green,green","","",""
"","html-keyboard-response","5","11576","","","","","",""
"540","visual-array-response","6","12119","","","","true","83","false"
"","html-keyboard-response","7","13135","","","","","",""
"","html-keyboard-response","8","14052","","","","","",""
"","visual-array-stimuli","9","14365","4","213,202,181,111,215,60,46,57","purple,black,yellow,blue","","",""
"","html-keyboard-response","10","15284","","","","","",""
"66","visual-array-response","11","15351","","","","false","83","true"
"","html-keyboard-response","12","16356","","","","","",""
"","html-keyboard-response","13","17264","","","","","",""
"","visual-array-stimuli","14","17577","8","91,203,168,169,104,178,87,28,153,142,237,105,137,47,37,189","green,black,blue,red,purple,green,red,red","","",""
"","html-keyboard-response","15","18491","","","","","",""
"28","visual-array-response","16","18521","","","","false","83","true"
"","html-keyboard-response","17","19536","","","","","",""
"","html-keyboard-response","18","20451","","","","","",""
"","visual-array-stimuli","19","20762","8","126,239,124,47,75,192,166,204,107,79,56,211,21,145,36,71","blue,white,green,black,white,blue,black,white","","",""
"","html-keyboard-response","20","21668","","","","","",""
"76","visual-array-response","21","21746","","","","false","83","true"
"","html-keyboard-response","22","22764","","","","","",""
"","html-keyboard-response","23","23669","","","","","",""
"","visual-array-stimuli","24","23984","8","70,222,75,133,190,72,72,69,187,190,176,159,172,94,20,124","black,purple,white,green,purple,blue,green,purple","","",""
"","html-keyboard-response","25","24890","","","","","",""
"68","visual-array-response","26","24960","","","","true","83","false"
"","html-keyboard-response","27","25961","","","","","",""
"","html-keyboard-response","28","26872","","","","","",""
"","visual-array-stimuli","29","27185","4","59,214,238,149,21,110,47,130","green,blue,red,blue","","",""
"","html-keyboard-response","30","28091","","","","","",""
"188","visual-array-response","31","28280","","","","true","83","false"
"","html-keyboard-response","32","29294","","","","","",""
"","html-keyboard-response","33","30198","","","","","",""
"","visual-array-stimuli","34","30505","6","121,104,199,175,73,35,25,94,97,85,147,21","blue,purple,black,red,red,black","","",""
"","html-keyboard-response","35","31410","","","","","",""
"174","visual-array-response","36","31589","","","","true","83","false"
"","html-keyboard-response","37","32594","","","","","",""
"","html-keyboard-response","38","33498","","","","","",""
"","visual-array-stimuli","39","33802","6","150,112,82,102,67,75,124,47,212,124,177,157","blue,yellow,red,red,blue,blue","","",""
"","html-keyboard-response","40","34705","","","","","",""
"16","visual-array-response","41","34723","","","","false","83","true"
"","html-keyboard-response","42","35730","","","","","",""
"","html-keyboard-response","43","36634","","","","","",""
"","visual-array-stimuli","44","36945","8","97,53,71,189,98,206,152,22,159,176,100,83,130,130,231,171","black,red,white,white,red,black,purple,white","","",""
"","html-keyboard-response","45","37850","","","","","",""
"194","visual-array-response","46","38046","","","","true","83","false"
"","html-keyboard-response","47","39050","","","","","",""
"","html-keyboard-response","48","39953","","","","","",""
"","visual-array-stimuli","49","40257","4","136,47,203,167,189,222,163,86","white,black,blue,purple","","",""
"","html-keyboard-response","50","41162","","","","","",""
"92","visual-array-response","51","41255","","","","true","83","false"
"","html-keyboard-response","52","42258","","","","","",""
"","html-keyboard-response","53","43162","","","","","",""
"","visual-array-stimuli","54","43466","6","204,166,157,82,197,43,208,102,135,184,133,239","red,white,green,white,red,yellow","","",""
"","html-keyboard-response","55","44370","","","","","",""
"59","visual-array-response","56","44430","","","","false","83","true"
"","html-keyboard-response","57","45434","","","","","",""
"","html-keyboard-response","58","46338","","","","","",""
"","visual-array-stimuli","59","46641","4","104,178,203,168,109,146,62,43","yellow,black,red,purple","","",""
"","html-keyboard-response","60","47546","","","","","",""
"52","visual-array-response","61","47599","","","","false","83","true"
"","html-keyboard-response","62","48601","","","","","",""
"","fullscreen","63","49609","","","","","",""
"","html-keyboard-response","64","49714","","","","","",""
