"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"3017","9","9,0,5","0","digit-span-recall","6","13846"
"2259","9","7,8,5","0","digit-span-recall","11","20151"
"1371","6","3,2,1","0","digit-span-recall","16","25543"
"1844","8,8","0,3,5","0","digit-span-recall","22","33262"
"2256","9","5,8,1","0","digit-span-recall","27","39544"
"2014","8","5,6,3","0","digit-span-recall","32","45584"
"2720","8,8","6,3,2","0","digit-span-recall","37","52330"
"3009","8","4,8,3","0","digit-span-recall","42","59372"
"3976","9","8,2,7","0","digit-span-recall","47","67378"
"3709","9","3,7,0","0","digit-span-recall","52","75119"
"12636","9","4,1,6","0","digit-span-recall","57","91789"
"2528","9","7,1,3","0","digit-span-recall","62","98344"
"4562","9","9,3,4","0","digit-span-recall","67","106940"
"2207","9","6,5,3","0","digit-span-recall","72","113172"
"2032","9","8,4,2","0","digit-span-recall","77","119234"
"1913","9","2,8,5","0","digit-span-recall","82","125170"
"4876","0","6,2,7","0","digit-span-recall","87","134082"
