"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"6543","survey-text","0","6544","","","","","",""
"","fullscreen","1","10382","","","","","",""
"1605","instructions","2","11987","","","","","",""
"","html-keyboard-response","3","12902","","","","","",""
"","visual-array-stimuli","4","13212","8","119,47,33,183,238,112,79,195,156,130,212,119,82,101,140,212","red,yellow,blue,white,white,yellow,white,white","","",""
"","html-keyboard-response","5","14118","","","","","",""
"53","visual-array-response","6","14174","","","","false","75","false"
"","html-keyboard-response","7","15186","","","","","",""
"","html-keyboard-response","8","16103","","","","","",""
"","visual-array-stimuli","9","16415","4","146,77,146,182,175,60,75,130","red,purple,red,green","","",""
"","html-keyboard-response","10","17327","","","","","",""
"42","visual-array-response","11","17371","","","","false","83","true"
"","html-keyboard-response","12","18383","","","","","",""
"","html-keyboard-response","13","19293","","","","","",""
"","visual-array-stimuli","14","19599","8","108,146,223,71,162,174,36,188,56,48,210,150,21,114,130,130","white,yellow,purple,purple,black,purple,purple,green","","",""
"","html-keyboard-response","15","20508","","","","","",""
"24","visual-array-response","16","20534","","","","false","75","false"
"","html-keyboard-response","17","21539","","","","","",""
"","html-keyboard-response","18","22443","","","","","",""
"","visual-array-stimuli","19","22754","6","159,83,205,163,132,47,116,239,95,87,148,149","black,blue,purple,black,red,blue","","",""
"","html-keyboard-response","20","23659","","","","","",""
"79","visual-array-response","21","23740","","","","false","75","false"
"","html-keyboard-response","22","24760","","","","","",""
"","html-keyboard-response","23","25676","","","","","",""
"","visual-array-stimuli","24","25987","6","167,26,21,149,173,96,156,126,196,80,112,77","purple,white,blue,blue,black,blue","","",""
"","html-keyboard-response","25","26896","","","","","",""
"112","visual-array-response","26","27010","","","","false","75","false"
"","html-keyboard-response","27","28012","","","","","",""
"","html-keyboard-response","28","28928","","","","","",""
"","visual-array-stimuli","29","29242","4","141,20,212,126,47,133,130,130","white,red,blue,red","","",""
"","html-keyboard-response","30","30146","","","","","",""
"50","visual-array-response","31","30198","","","","true","75","true"
"","html-keyboard-response","32","31202","","","","","",""
"","html-keyboard-response","33","32106","","","","","",""
"","visual-array-stimuli","34","32410","4","104,138,20,128,159,52,190,187","white,blue,black,white","","",""
"","html-keyboard-response","35","33313","","","","","",""
"123","visual-array-response","36","33437","","","","false","75","false"
"","html-keyboard-response","37","34442","","","","","",""
"","html-keyboard-response","38","35346","","","","","",""
"","visual-array-stimuli","39","35650","6","108,79,34,185,130,130,125,47,34,75,68,74","yellow,blue,white,white,black,blue","","",""
"","html-keyboard-response","40","36554","","","","","",""
"19","visual-array-response","41","36574","","","","true","75","true"
"","html-keyboard-response","42","37578","","","","","",""
"","html-keyboard-response","43","38482","","","","","",""
"","visual-array-stimuli","44","38785","6","71,70,189,71,22,154,152,115,97,206,129,185","white,blue,green,red,purple,purple","","",""
"","html-keyboard-response","45","39689","","","","","",""
"185","visual-array-response","46","39875","","","","true","75","true"
"","html-keyboard-response","47","40882","","","","","",""
"","html-keyboard-response","48","41786","","","","","",""
"","visual-array-stimuli","49","42089","4","182,113,98,84,172,28,129,184","yellow,white,white,yellow","","",""
"","html-keyboard-response","50","42994","","","","","",""
"18","visual-array-response","51","43012","","","","false","75","false"
"","html-keyboard-response","52","44018","","","","","",""
"","html-keyboard-response","53","44922","","","","","",""
"","visual-array-stimuli","54","45226","8","105,119,238,114,62,43,210,151,64,79,126,239,77,146,130,130","black,red,blue,black,green,yellow,white,green","","",""
"","html-keyboard-response","55","46135","","","","","",""
"170","visual-array-response","56","46307","","","","true","75","true"
"","html-keyboard-response","57","47313","","","","","",""
"","html-keyboard-response","58","48218","","","","","",""
"","visual-array-stimuli","59","48522","8","160,84,191,221,99,175,50,105,141,20,76,193,182,145,239,122","black,yellow,blue,purple,purple,black,blue,white","","",""
"","html-keyboard-response","60","49426","","","","","",""
"4","visual-array-response","61","49432","","","","true","75","true"
"","html-keyboard-response","62","50434","","","","","",""
"","fullscreen","63","51442","","","","","",""
"","html-keyboard-response","64","51546","","","","","",""
