"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"3716","0,8,9","1,3,0","0","digit-span-recall","6","15269"
"1878","9","2,1,5","0","digit-span-recall","11","21182"
"1702","9","4,3,2","0","digit-span-recall","16","26924"
"2257","6","7,1,3","0","digit-span-recall","22","34048"
"2088","6","1,3,5","0","digit-span-recall","27","40163"
"2266","9","5,1,8","0","digit-span-recall","32","46491"
"1934","9","9,8,7","0","digit-span-recall","37","52466"
"1533","5","9,4,2","0","digit-span-recall","42","58035"
"3275","9","2,0,5","0","digit-span-recall","47","65343"
"1886","9","7,1,0","0","digit-span-recall","52","71258"
"1877","6","5,7,3","0","digit-span-recall","57","77166"
"2756","9","3,5,4","0","digit-span-recall","62","83950"
"1500","9","3,7,5","0","digit-span-recall","67","89512"
"2000","9","7,5,8","0","digit-span-recall","72","95546"
"3661","5,5,9","6,5,4","0","digit-span-recall","77","103243"
"1710","9","0,7,8","0","digit-span-recall","82","108989"
"3160","9","5,6,4","0","digit-span-recall","87","116193"
