"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"43497","4,5,9,6,2","8,1,7","0","digit-span-recall","6","56042"
"4394","5,9,6,8","1,6,5","0","digit-span-recall","11","64441"
"6449","6,8,4,9,5,2","5,6,8","0","digit-span-recall","16","74896"
"7743","1,5,8,9,6,3","0,1,8","0","digit-span-recall","22","88197"
"4312","8,9,5,4,1,2","4,3,6","0","digit-span-recall","27","96518"
"5465","6,5,7,1,3","8,0,2","0","digit-span-recall","32","105990"
"5305","8,6,1,2,5","8,6,2","0","digit-span-recall","37","115311"
"9950","8,5,6,6,6,6","2,5,1","0","digit-span-recall","42","129269"
"5489","8,5,6,9,7","8,1,9","0","digit-span-recall","47","138765"
"2965","8,8,8,8,8,8","5,0,2","0","digit-span-recall","52","145737"
"2964","5,5,5,5,5,5,5,5","1,3,0","0","digit-span-recall","57","152709"
"5698","5,5,5,5,5","4,1,0","0","digit-span-recall","62","162412"
"2422","8,8,8,8,8,8","6,1,3","0","digit-span-recall","67","168852"
"2273","0,0,0,0,0","4,2,6","0","digit-span-recall","72","175130"
"5525","8,8,8,8,8","8,2,9","0","digit-span-recall","77","184664"
"2409","9,9,9,9","0,5,1","0","digit-span-recall","82","191082"
"5629","5,4,6,7","4,6,7","0","digit-span-recall","87","200715"
