"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3888","survey-text","0","3889","","","","","",""
"","fullscreen","1","5929","","","","","",""
"1662","instructions","2","7591","","","","","",""
"","html-keyboard-response","3","8511","","","","","",""
"","visual-array-stimuli","4","8821","8","169,202,236,156,23,103,152,180,194,182,174,29,99,24,194,218","blue,yellow,red,blue,blue,purple,white,blue","","",""
"","html-keyboard-response","5","9732","","","","","",""
"19","visual-array-response","6","9754","","","","true","83","false"
"","html-keyboard-response","7","10774","","","","","",""
"","html-keyboard-response","8","11684","","","","","",""
"","visual-array-stimuli","9","12000","4","129,47,180,107,92,233,102,177","blue,blue,red,green","","",""
"","html-keyboard-response","10","12911","","","","","",""
"1652","visual-array-response","11","14565","","","","true","83","false"
"","html-keyboard-response","12","15581","","","","","",""
"","html-keyboard-response","13","16494","","","","","",""
"","visual-array-stimuli","14","16808","8","44,199,213,202,149,149,20,128,167,89,209,105,47,122,76,33","green,purple,blue,purple,blue,red,green,yellow","","",""
"","html-keyboard-response","15","17714","","","","","",""
"105","visual-array-response","16","17823","","","","false","83","true"
"","html-keyboard-response","17","18831","","","","","",""
"","html-keyboard-response","18","19731","","","","","",""
"","visual-array-stimuli","19","20046","8","175,60,28,172,130,130,231,87,24,97,48,114,60,84,143,20","green,green,blue,white,white,black,green,white","","",""
"","html-keyboard-response","20","20960","","","","","",""
"105","visual-array-response","21","21068","","","","false","83","true"
"","html-keyboard-response","22","22072","","","","","",""
"","html-keyboard-response","23","22973","","","","","",""
"","visual-array-stimuli","24","23289","4","66,220,207,207,128,103,193,39","red,green,blue,white","","",""
"","html-keyboard-response","25","24199","","","","","",""
"193","visual-array-response","26","24393","","","","true","83","false"
"","html-keyboard-response","27","25413","","","","","",""
"","html-keyboard-response","28","26325","","","","","",""
"","visual-array-stimuli","29","26642","4","236,101,121,104,151,145,56,168","purple,red,white,red","","",""
"","html-keyboard-response","30","27556","","","","","",""
"118","visual-array-response","31","27677","","","","false","83","true"
"","html-keyboard-response","32","28697","","","","","",""
"","html-keyboard-response","33","29598","","","","","",""
"","visual-array-stimuli","34","29909","8","239,135,210,205,203,92,49,54,182,145,92,56,109,112,189,37","blue,purple,white,purple,blue,green,yellow,white","","",""
"","html-keyboard-response","35","30809","","","","","",""
"91","visual-array-response","36","30903","","","","true","83","false"
"","html-keyboard-response","37","31920","","","","","",""
"","html-keyboard-response","38","32838","","","","","",""
"","visual-array-stimuli","39","33152","6","130,130,78,110,65,41,122,239,164,87,236,156","green,purple,black,red,red,white","","",""
"","html-keyboard-response","40","34069","","","","","",""
"62","visual-array-response","41","34133","","","","true","83","false"
"","html-keyboard-response","42","35140","","","","","",""
"","html-keyboard-response","43","36050","","","","","",""
"","visual-array-stimuli","44","36370","6","239,116,212,127,97,24,95,54,54,210,75,135","red,purple,purple,yellow,yellow,purple","","",""
"","html-keyboard-response","45","37282","","","","","",""
"1308","visual-array-response","46","38592","","","","true","83","false"
"","html-keyboard-response","47","39608","","","","","",""
"","html-keyboard-response","48","40523","","","","","",""
"","visual-array-stimuli","49","40835","4","146,150,150,237,73,190,73,35","white,white,white,purple","","",""
"","html-keyboard-response","50","41741","","","","","",""
"36","visual-array-response","51","41779","","","","false","83","true"
"","html-keyboard-response","52","42787","","","","","",""
"","html-keyboard-response","53","43703","","","","","",""
"","visual-array-stimuli","54","44014","6","220,193,83,229,39,66,159,176,151,210,132,75","white,yellow,blue,yellow,purple,white","","",""
"","html-keyboard-response","55","44931","","","","","",""
"6070","visual-array-response","56","51003","","","","false","83","true"
"","html-keyboard-response","57","52014","","","","","",""
"","html-keyboard-response","58","52921","","","","","",""
"","visual-array-stimuli","59","53235","6","48,145,92,89,61,83,176,61,80,228,231,87","black,purple,purple,purple,black,yellow","","",""
"","html-keyboard-response","60","54150","","","","","",""
"250","visual-array-response","61","54404","","","","false","83","true"
"","html-keyboard-response","62","55413","","","","","",""
"","fullscreen","63","56431","","","","","",""
"","html-keyboard-response","64","56541","","","","","",""
