"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4691","survey-text","0","4691","","","","","",""
"","fullscreen","1","7157","","","","","",""
"1139","instructions","2","8296","","","","","",""
"","html-keyboard-response","3","9201","","","","","",""
"","visual-array-stimuli","4","9516","4","171,28,36,71,32,181,133,156","purple,white,yellow,black","","",""
"","html-keyboard-response","5","10419","","","","","",""
"179","visual-array-response","6","10599","","","","true","83","false"
"","html-keyboard-response","7","11610","","","","","",""
"","html-keyboard-response","8","12514","","","","","",""
"","visual-array-stimuli","9","12830","8","177,158,142,47,196,80,222,70,31,80,139,104,88,166,49,150","purple,white,yellow,green,white,green,blue,red","","",""
"","html-keyboard-response","10","13733","","","","","",""
"186","visual-array-response","11","13923","","","","false","83","true"
"","html-keyboard-response","12","14930","","","","","",""
"","html-keyboard-response","13","15834","","","","","",""
"","visual-array-stimuli","14","16145","6","89,93,212,139,177,102,234,165,150,237,25,94","yellow,red,purple,green,white,black","","",""
"","html-keyboard-response","15","17047","","","","","",""
"9","visual-array-response","16","17058","","","","true","75","true"
"","html-keyboard-response","17","18069","","","","","",""
"","html-keyboard-response","18","18982","","","","","",""
"","visual-array-stimuli","19","19296","6","222,189,239,116,207,100,163,86,162,235,150,111","yellow,purple,red,white,black,white","","",""
"","html-keyboard-response","20","20207","","","","","",""
"47","visual-array-response","21","20256","","","","true","75","true"
"","html-keyboard-response","22","21279","","","","","",""
"","html-keyboard-response","23","22187","","","","","",""
"","visual-array-stimuli","24","22499","6","163,25,178,62,62,81,223,71,227,181,21,114","purple,white,purple,green,purple,red","","",""
"","html-keyboard-response","25","23401","","","","","",""
"208","visual-array-response","26","23611","","","","false","75","false"
"","html-keyboard-response","27","24625","","","","","",""
"","html-keyboard-response","28","25536","","","","","",""
"","visual-array-stimuli","29","25852","6","122,212,203,168,151,180,24,160,66,183,81,31","white,blue,green,white,green,red","","",""
"","html-keyboard-response","30","26765","","","","","",""
"131","visual-array-response","31","26898","","","","false","75","false"
"","html-keyboard-response","32","27919","","","","","",""
"","html-keyboard-response","33","28833","","","","","",""
"","visual-array-stimuli","34","29148","8","150,49,44,199,27,90,49,109,210,150,109,112,234,94,182,112","yellow,purple,purple,green,red,purple,red,green","","",""
"","html-keyboard-response","35","30063","","","","","",""
"358","visual-array-response","36","30423","","","","false","75","false"
"","html-keyboard-response","37","31425","","","","","",""
"","html-keyboard-response","38","32326","","","","","",""
"","visual-array-stimuli","39","32643","4","212,122,76,193,234,165,46,202","red,black,green,blue","","",""
"","html-keyboard-response","40","33554","","","","","",""
"5","visual-array-response","41","33561","","","","false","83","true"
"","html-keyboard-response","42","34562","","","","","",""
"","html-keyboard-response","43","35471","","","","","",""
"","visual-array-stimuli","44","35785","4","193,39,207,207,161,206,71,188","yellow,white,black,yellow","","",""
"","html-keyboard-response","45","36702","","","","","",""
"145","visual-array-response","46","36848","","","","false","83","true"
"","html-keyboard-response","47","37868","","","","","",""
"","html-keyboard-response","48","38781","","","","","",""
"","visual-array-stimuli","49","39094","8","56,91,105,50,174,97,122,212,212,137,156,132,130,130,85,162","purple,black,purple,purple,purple,red,black,blue","","",""
"","html-keyboard-response","50","40005","","","","","",""
"156","visual-array-response","51","40162","","","","true","83","false"
"","html-keyboard-response","52","41171","","","","","",""
"","html-keyboard-response","53","42084","","","","","",""
"","visual-array-stimuli","54","42391","4","76,143,209,154,194,218,154,50","blue,black,white,purple","","",""
"","html-keyboard-response","55","43311","","","","","",""
"132","visual-array-response","56","43444","","","","false","75","false"
"","html-keyboard-response","57","44449","","","","","",""
"","html-keyboard-response","58","45364","","","","","",""
"","visual-array-stimuli","59","45677","8","232,169,112,21,114,211,141,105,147,238,27,90,182,114,82,61","green,white,red,white,green,black,blue,white","","",""
"","html-keyboard-response","60","46589","","","","","",""
"42","visual-array-response","61","46633","","","","false","83","true"
"","html-keyboard-response","62","47640","","","","","",""
"","fullscreen","63","48646","","","","","",""
"","html-keyboard-response","64","48756","","","","","",""
