"rt","recall","stimuli","accuracy","trial_type","trial_index","time_elapsed"
"2031","5","6,0,7","0","digit-span-recall","6","15911"
"2565","5,6","0,4,3","0","digit-span-recall","11","22522"
"2076","8","7,3,2","0","digit-span-recall","16","28645"
"2345","8,8","6,0,7","0","digit-span-recall","22","36206"
"1666","9","2,8,3","0","digit-span-recall","27","41933"
"2476","9","4,7,9","0","digit-span-recall","32","48441"
"1678","9","4,6,9","0","digit-span-recall","37","54141"
"3126","9","6,8,3","0","digit-span-recall","42","61328"
"2086","9","7,5,2","0","digit-span-recall","47","67466"
"1814","8","7,2,5","0","digit-span-recall","52","73304"
"1617","9","1,8,2","0","digit-span-recall","57","78945"
"1415","9","6,7,1","0","digit-span-recall","62","84397"
"1527","9","6,4,8","0","digit-span-recall","67","89973"
"1378","9","7,2,3","0","digit-span-recall","72","95403"
"2194","9","6,0,5","0","digit-span-recall","77","101627"
"1089","3","1,0,5","0","digit-span-recall","82","106758"
"1455","5","0,2,8","0","digit-span-recall","87","112239"
