"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4029","survey-text","0","4030","","","","","",""
"","fullscreen","1","6504","","","","","",""
"2170","instructions","2","8674","","","","","",""
"","html-keyboard-response","3","9581","","","","","",""
"","visual-array-stimuli","4","9893","4","92,233,173,59,178,197,34,75","green,green,yellow,yellow","","",""
"","html-keyboard-response","5","10803","","","","","",""
"561","visual-array-response","6","11366","","","","true","83","false"
"","html-keyboard-response","7","12379","","","","","",""
"","html-keyboard-response","8","13288","","","","","",""
"","visual-array-stimuli","9","13604","8","193,183,188,36,47,137,43,197,66,76,184,120,145,238,48,56","purple,red,red,yellow,green,black,white,black","","",""
"","html-keyboard-response","10","14518","","","","","",""
"1180","visual-array-response","11","15702","","","","false","75","false"
"","html-keyboard-response","12","16710","","","","","",""
"","html-keyboard-response","13","17627","","","","","",""
"","visual-array-stimuli","14","17944","6","70,222,81,62,28,87,197,81,189,37,181,149","white,black,red,red,blue,black","","",""
"","html-keyboard-response","15","18846","","","","","",""
"1046","visual-array-response","16","19895","","","","true","75","true"
"","html-keyboard-response","17","20912","","","","","",""
"","html-keyboard-response","18","21828","","","","","",""
"","visual-array-stimuli","19","22141","4","115,107,186,35,120,75,183,226","blue,black,red,yellow","","",""
"","html-keyboard-response","20","23058","","","","","",""
"345","visual-array-response","21","23405","","","","false","75","false"
"","html-keyboard-response","22","24427","","","","","",""
"","html-keyboard-response","23","25347","","","","","",""
"","visual-array-stimuli","24","25664","4","166,88,239,133,101,82,93,171","green,purple,red,red","","",""
"","html-keyboard-response","25","26580","","","","","",""
"1403","visual-array-response","26","27985","","","","true","75","true"
"","html-keyboard-response","27","28991","","","","","",""
"","html-keyboard-response","28","29906","","","","","",""
"","visual-array-stimuli","29","30218","8","233,92,172,58,91,90,130,130,214,200,150,210,45,200,63,179","black,green,white,yellow,red,blue,black,white","","",""
"","html-keyboard-response","30","31136","","","","","",""
"354","visual-array-response","31","31498","","","","false","83","true"
"","html-keyboard-response","32","32510","","","","","",""
"","html-keyboard-response","33","33428","","","","","",""
"","visual-array-stimuli","34","33744","8","211,144,141,20,20,137,170,92,50,206,41,65,112,48,177,197","green,black,green,red,green,yellow,yellow,blue","","",""
"","html-keyboard-response","35","34659","","","","","",""
"350","visual-array-response","36","35014","","","","false","83","true"
"","html-keyboard-response","37","36026","","","","","",""
"","html-keyboard-response","38","36944","","","","","",""
"","visual-array-stimuli","39","37260","4","154,140,171,93,183,33,73,35","red,white,green,yellow","","",""
"","html-keyboard-response","40","38175","","","","","",""
"749","visual-array-response","41","38926","","","","true","75","true"
"","html-keyboard-response","42","39944","","","","","",""
"","html-keyboard-response","43","40860","","","","","",""
"","visual-array-stimuli","44","41176","6","107,114,76,115,181,110,20,120,143,48,120,20","yellow,red,white,purple,yellow,white","","",""
"","html-keyboard-response","45","42093","","","","","",""
"134","visual-array-response","46","42230","","","","true","83","false"
"","html-keyboard-response","47","43239","","","","","",""
"","html-keyboard-response","48","44151","","","","","",""
"","visual-array-stimuli","49","44467","6","85,162,48,116,174,162,110,238,214,200,26,167","yellow,blue,purple,purple,green,black","","",""
"","html-keyboard-response","50","45378","","","","","",""
"540","visual-array-response","51","45921","","","","true","75","true"
"","html-keyboard-response","52","46928","","","","","",""
"","html-keyboard-response","53","47844","","","","","",""
"","visual-array-stimuli","54","48158","6","211,116,130,130,77,146,146,151,129,184,237,109","black,purple,yellow,yellow,yellow,yellow","","",""
"","html-keyboard-response","55","49059","","","","","",""
"1102","visual-array-response","56","50164","","","","true","83","false"
"","html-keyboard-response","57","51175","","","","","",""
"","html-keyboard-response","58","52079","","","","","",""
"","visual-array-stimuli","59","52394","8","165,87,180,195,112,150,70,37,94,172,217,196,119,212,49,205","blue,blue,yellow,blue,blue,black,yellow,purple","","",""
"","html-keyboard-response","60","53309","","","","","",""
"577","visual-array-response","61","53889","","","","false","75","false"
"","html-keyboard-response","62","54901","","","","","",""
"","fullscreen","63","55911","","","","","",""
"","html-keyboard-response","64","56019","","","","","",""
