"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4968","survey-text","0","4970","","","","","",""
"","fullscreen","1","7010","","","","","",""
"1953","instructions","2","8963","","","","","",""
"","html-keyboard-response","3","9887","","","","","",""
"","visual-array-stimuli","4","10197","4","105,50,96,86,145,151,172,231","white,purple,white,yellow","","",""
"","html-keyboard-response","5","11104","","","","","",""
"34","visual-array-response","6","11140","","","","true","83","false"
"","html-keyboard-response","7","12146","","","","","",""
"","html-keyboard-response","8","13047","","","","","",""
"","visual-array-stimuli","9","13361","6","207,99,239,128,27,169,206,163,131,47,115,183","white,black,yellow,yellow,blue,yellow","","",""
"","html-keyboard-response","10","14279","","","","","",""
"37","visual-array-response","11","14318","","","","true","83","false"
"","html-keyboard-response","12","15328","","","","","",""
"","html-keyboard-response","13","16234","","","","","",""
"","visual-array-stimuli","14","16548","8","131,75,66,183,217,63,76,66,181,148,126,156,20,124,117,106","white,white,purple,red,white,white,purple,yellow","","",""
"","html-keyboard-response","15","17461","","","","","",""
"61","visual-array-response","16","17525","","","","true","83","false"
"","html-keyboard-response","17","18529","","","","","",""
"","html-keyboard-response","18","19445","","","","","",""
"","visual-array-stimuli","19","19758","6","220,66,146,211,211,145,182,113,83,61,39,193","green,white,black,black,green,white","","",""
"","html-keyboard-response","20","20670","","","","","",""
"82","visual-array-response","21","20754","","","","false","83","true"
"","html-keyboard-response","22","21771","","","","","",""
"","html-keyboard-response","23","22684","","","","","",""
"","visual-array-stimuli","24","23001","8","181,194,212,139,110,110,142,105,135,20,37,70,20,143,87,231","black,purple,yellow,red,red,white,green,green","","",""
"","html-keyboard-response","25","23911","","","","","",""
"1","visual-array-response","26","23916","","","","false","83","true"
"","html-keyboard-response","27","24918","","","","","",""
"","html-keyboard-response","28","25826","","","","","",""
"","visual-array-stimuli","29","26138","8","187,189,75,122,154,237,28,172,81,155,47,128,130,157,154,80","green,blue,blue,blue,black,yellow,yellow,white","","",""
"","html-keyboard-response","30","27043","","","","","",""
"195","visual-array-response","31","27242","","","","true","83","false"
"","html-keyboard-response","32","28247","","","","","",""
"","html-keyboard-response","33","29162","","","","","",""
"","visual-array-stimuli","34","29591","6","237,107,183,115,197,43,56,91,103,129,151,146","green,red,black,black,purple,blue","","",""
"","html-keyboard-response","35","30498","","","","","",""
"43","visual-array-response","36","30545","","","","false","83","true"
"","html-keyboard-response","37","31558","","","","","",""
"","html-keyboard-response","38","32472","","","","","",""
"","visual-array-stimuli","39","32789","4","47,128,130,130,206,163,167,89","black,red,red,white","","",""
"","html-keyboard-response","40","33703","","","","","",""
"147","visual-array-response","41","33854","","","","false","83","true"
"","html-keyboard-response","42","34865","","","","","",""
"","html-keyboard-response","43","35778","","","","","",""
"","visual-array-stimuli","44","36091","8","66,39,211,112,84,199,147,77,83,229,30,176,130,130,239,120","black,white,white,purple,black,yellow,yellow,black","","",""
"","html-keyboard-response","45","37002","","","","","",""
"197","visual-array-response","46","37204","","","","false","83","true"
"","html-keyboard-response","47","38216","","","","","",""
"","html-keyboard-response","48","39125","","","","","",""
"","visual-array-stimuli","49","39438","6","83,61,86,163,111,78,230,174,109,147,175,160","red,purple,white,white,red,black","","",""
"","html-keyboard-response","50","40353","","","","","",""
"43","visual-array-response","51","40399","","","","true","83","false"
"","html-keyboard-response","52","41414","","","","","",""
"","html-keyboard-response","53","42322","","","","","",""
"","visual-array-stimuli","54","42634","4","22,152,77,146,140,105,106,143","red,yellow,red,white","","",""
"","html-keyboard-response","55","43549","","","","","",""
"79","visual-array-response","56","43629","","","","false","83","true"
"","html-keyboard-response","57","44636","","","","","",""
"","html-keyboard-response","58","45549","","","","","",""
"","visual-array-stimuli","59","45865","4","75,125,130,130,197,81,178,197","purple,green,purple,black","","",""
"","html-keyboard-response","60","46766","","","","","",""
"1790","visual-array-response","61","48558","","","","true","83","false"
"","html-keyboard-response","62","49562","","","","","",""
"","fullscreen","63","50574","","","","","",""
"","html-keyboard-response","64","50684","","","","","",""
