"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3381","survey-text","0","3382","","","","","",""
"","fullscreen","1","5397","","","","","",""
"1207","instructions","2","6605","","","","","",""
"","html-keyboard-response","3","7517","","","","","",""
"","visual-array-stimuli","4","7833","8","109,112,34,75,59,86,225,185,105,80,156,132,130,130,86,200","green,white,green,red,purple,black,yellow,red","","",""
"","html-keyboard-response","5","8744","","","","","",""
"14","visual-array-response","6","8760","","","","true","83","false"
"","html-keyboard-response","7","9766","","","","","",""
"","html-keyboard-response","8","10667","","","","","",""
"","visual-array-stimuli","9","10977","6","167,204,234,94,147,238,213,202,155,121,114,151","green,blue,white,black,white,white","","",""
"","html-keyboard-response","10","11878","","","","","",""
"162","visual-array-response","11","12042","","","","true","83","false"
"","html-keyboard-response","12","13049","","","","","",""
"","html-keyboard-response","13","13962","","","","","",""
"","visual-array-stimuli","14","14275","4","140,76,90,27,184,123,202,213","green,blue,purple,black","","",""
"","html-keyboard-response","15","15190","","","","","",""
"9","visual-array-response","16","15201","","","","false","75","false"
"","html-keyboard-response","17","16216","","","","","",""
"","html-keyboard-response","18","17124","","","","","",""
"","visual-array-stimuli","19","17441","6","147,238,208,156,186,35,178,104,90,91,105,179","purple,blue,red,blue,white,blue","","",""
"","html-keyboard-response","20","18359","","","","","",""
"24","visual-array-response","21","18386","","","","true","75","true"
"","html-keyboard-response","22","19386","","","","","",""
"","html-keyboard-response","23","20300","","","","","",""
"","visual-array-stimuli","24","20608","4","205,49,37,70,154,179,156,123","black,white,black,red","","",""
"","html-keyboard-response","25","21513","","","","","",""
"161","visual-array-response","26","21676","","","","true","83","false"
"","html-keyboard-response","27","22697","","","","","",""
"","html-keyboard-response","28","23600","","","","","",""
"","visual-array-stimuli","29","23916","4","41,65,124,212,191,221,119,183","red,yellow,purple,yellow","","",""
"","html-keyboard-response","30","24826","","","","","",""
"98","visual-array-response","31","24926","","","","false","83","true"
"","html-keyboard-response","32","25943","","","","","",""
"","html-keyboard-response","33","26854","","","","","",""
"","visual-array-stimuli","34","27170","6","179,196,63,179,123,184,117,212,179,153,47,117","yellow,blue,green,green,blue,purple","","",""
"","html-keyboard-response","35","28084","","","","","",""
"67","visual-array-response","36","28155","","","","true","83","false"
"","html-keyboard-response","37","29169","","","","","",""
"","html-keyboard-response","38","30081","","","","","",""
"","visual-array-stimuli","39","30399","8","105,118,158,236,66,39,130,130,187,189,20,139,96,173,236,158","red,white,purple,black,red,black,black,white","","",""
"","html-keyboard-response","40","31301","","","","","",""
"114","visual-array-response","41","31418","","","","false","83","true"
"","html-keyboard-response","42","32439","","","","","",""
"","html-keyboard-response","43","33347","","","","","",""
"","visual-array-stimuli","44","33656","8","119,154,130,130,183,119,120,20,174,59,85,200,52,52,123,184","purple,red,purple,blue,green,black,white,blue","","",""
"","html-keyboard-response","45","34576","","","","","",""
"42","visual-array-response","46","34621","","","","false","83","true"
"","html-keyboard-response","47","35632","","","","","",""
"","html-keyboard-response","48","36535","","","","","",""
"","visual-array-stimuli","49","36851","4","95,54,54,164,102,82,135,75","black,green,red,white","","",""
"","html-keyboard-response","50","37765","","","","","",""
"82","visual-array-response","51","37848","","","","false","83","true"
"","html-keyboard-response","52","38865","","","","","",""
"","html-keyboard-response","53","39780","","","","","",""
"","visual-array-stimuli","54","40093","6","24,97,123,212,104,51,154,237,208,104,154,179","red,blue,white,blue,green,black","","",""
"","html-keyboard-response","55","41009","","","","","",""
"151","visual-array-response","56","41162","","","","true","75","true"
"","html-keyboard-response","57","42174","","","","","",""
"","html-keyboard-response","58","43085","","","","","",""
"","visual-array-stimuli","59","43407","8","198,176,89,166,60,175,107,237,175,199,149,111,114,21,234,96","blue,black,yellow,white,green,black,yellow,purple","","",""
"","html-keyboard-response","60","44308","","","","","",""
"60","visual-array-response","61","44371","","","","false","75","false"
"","html-keyboard-response","62","45379","","","","","",""
"","fullscreen","63","46396","","","","","",""
"","html-keyboard-response","64","46499","","","","","",""
