"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3701","survey-text","0","3703","","","","","",""
"","fullscreen","1","6777","","","","","",""
"2331","instructions","2","9108","","","","","",""
"","html-keyboard-response","3","10023","","","","","",""
"","visual-array-stimuli","4","10337","6","178,228,140,154,79,195,118,20,201,88,210,151","purple,black,yellow,blue,red,yellow","","",""
"","html-keyboard-response","5","11248","","","","","",""
"226","visual-array-response","6","11477","","","","true","83","false"
"","html-keyboard-response","7","12478","","","","","",""
"","html-keyboard-response","8","13384","","","","","",""
"","visual-array-stimuli","9","13696","8","65,181,202,170,194,78,239,118,121,184,105,80,184,121,130,103","black,red,blue,white,red,white,purple,yellow","","",""
"","html-keyboard-response","10","14603","","","","","",""
"114","visual-array-response","11","14719","","","","true","83","false"
"","html-keyboard-response","12","15726","","","","","",""
"","html-keyboard-response","13","16636","","","","","",""
"","visual-array-stimuli","14","16949","6","94,25,47,135,75,134,55,166,224,186,33,183","blue,green,black,blue,white,black","","",""
"","html-keyboard-response","15","17857","","","","","",""
"122","visual-array-response","16","17981","","","","false","83","true"
"","html-keyboard-response","17","18995","","","","","",""
"","html-keyboard-response","18","19903","","","","","",""
"","visual-array-stimuli","19","20210","8","81,103,89,167,184,123,26,92,119,154,233,92,110,21,45,200","black,red,purple,black,blue,purple,red,purple","","",""
"","html-keyboard-response","20","21117","","","","","",""
"103","visual-array-response","21","21225","","","","false","75","false"
"","html-keyboard-response","22","22231","","","","","",""
"","html-keyboard-response","23","23136","","","","","",""
"","visual-array-stimuli","24","23451","4","238,147,201,87,120,104,94,234","red,red,white,purple","","",""
"","html-keyboard-response","25","24363","","","","","",""
"665","visual-array-response","26","25030","","","","true","83","false"
"","html-keyboard-response","27","26037","","","","","",""
"","html-keyboard-response","28","26950","","","","","",""
"","visual-array-stimuli","29","27265","4","83,229,53,98,176,30,229,83","blue,purple,green,green","","",""
"","html-keyboard-response","30","28176","","","","","",""
"544","visual-array-response","31","28722","","","","false","83","true"
"","html-keyboard-response","32","29729","","","","","",""
"","html-keyboard-response","33","30631","","","","","",""
"","visual-array-stimuli","34","30942","4","186,68,116,153,206,50,52,101","white,red,red,green","","",""
"","html-keyboard-response","35","31854","","","","","",""
"28","visual-array-response","36","31883","","","","true","83","false"
"","html-keyboard-response","37","32890","","","","","",""
"","html-keyboard-response","38","33804","","","","","",""
"","visual-array-stimuli","39","34120","8","73,68,90,232,47,126,186,191,224,186,238,112,133,47,35,73","red,green,purple,red,green,yellow,black,yellow","","",""
"","html-keyboard-response","40","35034","","","","","",""
"1034","visual-array-response","41","36071","","","","false","83","true"
"","html-keyboard-response","42","37079","","","","","",""
"","html-keyboard-response","43","37994","","","","","",""
"","visual-array-stimuli","44","38308","6","229,83,88,93,142,183,148,149,108,180,23,101","white,blue,black,black,blue,green","","",""
"","html-keyboard-response","45","39221","","","","","",""
"67","visual-array-response","46","39293","","","","false","83","true"
"","html-keyboard-response","47","40309","","","","","",""
"","html-keyboard-response","48","41221","","","","","",""
"","visual-array-stimuli","49","41537","4","182,145,86,59,34,75,144,107","red,black,yellow,blue","","",""
"","html-keyboard-response","50","42446","","","","","",""
"44","visual-array-response","51","42492","","","","false","83","true"
"","html-keyboard-response","52","43515","","","","","",""
"","html-keyboard-response","53","44430","","","","","",""
"","visual-array-stimuli","54","44742","8","222,70,113,77,130,130,174,162,48,114,156,134,31,80,85,162","blue,yellow,blue,green,white,blue,blue,yellow","","",""
"","html-keyboard-response","55","45657","","","","","",""
"440","visual-array-response","56","46101","","","","false","83","true"
"","html-keyboard-response","57","47122","","","","","",""
"","html-keyboard-response","58","48038","","","","","",""
"","visual-array-stimuli","59","48353","6","229,83,52,207,116,48,82,102,211,116,155,138","red,blue,red,red,white,purple","","",""
"","html-keyboard-response","60","49267","","","","","",""
"73","visual-array-response","61","49343","","","","false","75","false"
"","html-keyboard-response","62","50356","","","","","",""
"","fullscreen","63","51365","","","","","",""
"","html-keyboard-response","64","51476","","","","","",""
