"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3947","survey-text","0","3948","","","","","",""
"","fullscreen","1","5969","","","","","",""
"1403","instructions","2","7372","","","","","",""
"","html-keyboard-response","3","8280","","","","","",""
"","visual-array-stimuli","4","8595","8","149,111,48,56,211,203,234,96,181,65,170,202,182,114,20,126","red,yellow,white,red,red,purple,black,black","","",""
"","html-keyboard-response","5","9495","","","","","",""
"137","visual-array-response","6","9636","","","","false","83","true"
"","html-keyboard-response","7","10645","","","","","",""
"","html-keyboard-response","8","11562","","","","","",""
"","visual-array-stimuli","9","11877","8","100,52,25,165,73,224,138,155,183,226,234,94,76,33,190,72","yellow,purple,green,green,green,red,yellow,blue","","",""
"","html-keyboard-response","10","12798","","","","","",""
"277","visual-array-response","11","13078","","","","false","83","true"
"","html-keyboard-response","12","14091","","","","","",""
"","html-keyboard-response","13","15001","","","","","",""
"","visual-array-stimuli","14","15314","6","43,62,20,133,78,149,108,145,186,191,145,21","purple,white,blue,white,white,black","","",""
"","html-keyboard-response","15","16215","","","","","",""
"383","visual-array-response","16","16600","","","","true","83","false"
"","html-keyboard-response","17","17619","","","","","",""
"","html-keyboard-response","18","18535","","","","","",""
"","visual-array-stimuli","19","18848","6","50,152,109,148,135,103,25,165,130,130,76,33","blue,green,black,red,black,green","","",""
"","html-keyboard-response","20","19763","","","","","",""
"104","visual-array-response","21","19869","","","","true","83","false"
"","html-keyboard-response","22","20884","","","","","",""
"","html-keyboard-response","23","21801","","","","","",""
"","visual-array-stimuli","24","22102","4","180,108,47,136,212,123,44,199","purple,green,black,red","","",""
"","html-keyboard-response","25","23017","","","","","",""
"179","visual-array-response","26","23198","","","","true","83","false"
"","html-keyboard-response","27","24206","","","","","",""
"","html-keyboard-response","28","25116","","","","","",""
"","visual-array-stimuli","29","25433","6","89,93,177,102,52,101,112,21,82,157,158,52","red,yellow,red,green,white,blue","","",""
"","html-keyboard-response","30","26339","","","","","",""
"102","visual-array-response","31","26443","","","","false","83","true"
"","html-keyboard-response","32","27463","","","","","",""
"","html-keyboard-response","33","28377","","","","","",""
"","visual-array-stimuli","34","28692","4","176,100,130,20,21,149,59,45","red,purple,yellow,purple","","",""
"","html-keyboard-response","35","29607","","","","","",""
"204","visual-array-response","36","29813","","","","true","83","false"
"","html-keyboard-response","37","30817","","","","","",""
"","html-keyboard-response","38","31734","","","","","",""
"","visual-array-stimuli","39","32050","6","177,158,95,54,54,164,108,79,56,211,171,93","purple,purple,black,white,red,red","","",""
"","html-keyboard-response","40","32956","","","","","",""
"79","visual-array-response","41","33037","","","","false","83","true"
"","html-keyboard-response","42","34046","","","","","",""
"","html-keyboard-response","43","34961","","","","","",""
"","visual-array-stimuli","44","35276","8","79,152,50,53,105,140,112,48,118,20,211,145,41,194,61,177","red,blue,white,white,yellow,white,green,black","","",""
"","html-keyboard-response","45","36177","","","","","",""
"133","visual-array-response","46","36313","","","","true","83","false"
"","html-keyboard-response","47","37324","","","","","",""
"","html-keyboard-response","48","38227","","","","","",""
"","visual-array-stimuli","49","38541","8","76,141,58,88,166,89,119,212,124,184,103,125,20,120,212,140","red,purple,white,purple,green,red,white,yellow","","",""
"","html-keyboard-response","50","39456","","","","","",""
"493","visual-array-response","51","39953","","","","true","83","false"
"","html-keyboard-response","52","40969","","","","","",""
"","html-keyboard-response","53","41882","","","","","",""
"","visual-array-stimuli","54","42199","4","212,139,172,28,63,42,179,105","blue,white,white,black","","",""
"","html-keyboard-response","55","43110","","","","","",""
"100","visual-array-response","56","43211","","","","true","75","true"
"","html-keyboard-response","57","44219","","","","","",""
"","html-keyboard-response","58","45137","","","","","",""
"","visual-array-stimuli","59","45452","4","185,191,125,212,106,117,55,94","black,purple,purple,red","","",""
"","html-keyboard-response","60","46365","","","","","",""
"107","visual-array-response","61","46474","","","","false","83","true"
"","html-keyboard-response","62","47485","","","","","",""
"","fullscreen","63","48487","","","","","",""
"","html-keyboard-response","64","48592","","","","","",""
