"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"18259","survey-text","0","18262","","","","","",""
"","fullscreen","1","22082","","","","","",""
"8625","instructions","2","30707","","","","","",""
"","html-keyboard-response","3","31619","","","","","",""
"","visual-array-stimuli","4","31931","4","211,145,198,83,84,199,173,96","black,black,black,black","","",""
"","html-keyboard-response","5","32834","","","","","",""
"116","visual-array-response","6","32953","","","","true","75","true"
"","html-keyboard-response","7","33963","","","","","",""
"","html-keyboard-response","8","34866","","","","","",""
"","visual-array-stimuli","9","35177","8","137,212,154,50,84,98,113,182,47,137,175,161,174,29,23,103","purple,green,yellow,green,red,yellow,white,white","","",""
"","html-keyboard-response","10","36079","","","","","",""
"156","visual-array-response","11","36248","","","","true","75","true"
"","html-keyboard-response","12","37250","","","","","",""
"","html-keyboard-response","13","38155","","","","","",""
"","visual-array-stimuli","14","38467","8","56,92,183,193,123,212,210,54,99,175,20,135,167,56,128,75","purple,yellow,black,red,white,green,red,black","","",""
"","html-keyboard-response","15","39370","","","","","",""
"98","visual-array-response","16","39473","","","","true","75","true"
"","html-keyboard-response","17","40475","","","","","",""
"","html-keyboard-response","18","41379","","","","","",""
"","visual-array-stimuli","19","41690","6","188,36,239,133,160,207,212,131,107,114,114,21","red,yellow,red,black,blue,black","","",""
"","html-keyboard-response","20","42595","","","","","",""
"150","visual-array-response","21","42748","","","","true","75","true"
"","html-keyboard-response","22","43755","","","","","",""
"","html-keyboard-response","23","44659","","","","","",""
"","visual-array-stimuli","24","44963","6","184,129,149,21,111,110,74,225,71,188,147,182","red,black,purple,yellow,red,red","","",""
"","html-keyboard-response","25","45867","","","","","",""
"76","visual-array-response","26","45946","","","","false","75","false"
"","html-keyboard-response","27","46955","","","","","",""
"","html-keyboard-response","28","47859","","","","","",""
"","visual-array-stimuli","29","48163","4","216,197,71,36,78,227,202,89","purple,green,white,purple","","",""
"","html-keyboard-response","30","49064","","","","","",""
"113","visual-array-response","31","49180","","","","false","75","false"
"","html-keyboard-response","32","50187","","","","","",""
"","html-keyboard-response","33","51089","","","","","",""
"","visual-array-stimuli","34","51403","8","203,211,145,108,104,138,179,196,141,47,56,48,176,100,21,114","red,purple,black,yellow,yellow,white,red,blue","","",""
"","html-keyboard-response","35","52306","","","","","",""
"179","visual-array-response","36","52491","","","","false","75","false"
"","html-keyboard-response","37","53491","","","","","",""
"","html-keyboard-response","38","54395","","","","","",""
"","visual-array-stimuli","39","54707","8","80,106,47,138,136,75,92,170,110,21,106,209,214,59,240,130","blue,white,green,blue,blue,red,white,white","","",""
"","html-keyboard-response","40","55611","","","","","",""
"164","visual-array-response","41","55779","","","","false","75","false"
"","html-keyboard-response","42","56786","","","","","",""
"","html-keyboard-response","43","57690","","","","","",""
"","visual-array-stimuli","44","57995","4","137,47,151,114,33,183,182,113","red,purple,purple,white","","",""
"","html-keyboard-response","45","58898","","","","","",""
"143","visual-array-response","46","59043","","","","true","75","true"
"","html-keyboard-response","47","60050","","","","","",""
"","html-keyboard-response","48","60954","","","","","",""
"","visual-array-stimuli","49","61259","4","134,103,239,141,75,126,82,198","purple,green,green,blue","","",""
"","html-keyboard-response","50","62162","","","","","",""
"106","visual-array-response","51","62270","","","","false","75","false"
"","html-keyboard-response","52","63274","","","","","",""
"","html-keyboard-response","53","64178","","","","","",""
"","visual-array-stimuli","54","64483","6","157,51,120,20,130,130,207,207,82,158,212,124","green,green,green,blue,green,red","","",""
"","html-keyboard-response","55","65387","","","","","",""
"10","visual-array-response","56","65400","","","","false","75","false"
"","html-keyboard-response","57","66402","","","","","",""
"","html-keyboard-response","58","67306","","","","","",""
"","visual-array-stimuli","59","67610","6","20,130,184,34,122,184,168,90,157,51,204,93","green,blue,green,yellow,red,black","","",""
"","html-keyboard-response","60","68515","","","","","",""
"177","visual-array-response","61","68696","","","","true","75","true"
"","html-keyboard-response","62","69699","","","","","",""
"","fullscreen","63","70707","","","","","",""
"","html-keyboard-response","64","70810","","","","","",""
