"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4247","survey-text","0","4250","","","","","",""
"","fullscreen","1","6289","","","","","",""
"1394","instructions","2","7683","","","","","",""
"","html-keyboard-response","3","8601","","","","","",""
"","visual-array-stimuli","4","8917","4","163,25,47,125,114,108,74,68","black,white,white,white","","",""
"","html-keyboard-response","5","9830","","","","","",""
"206","visual-array-response","6","10038","","","","false","83","true"
"","html-keyboard-response","7","11058","","","","","",""
"","html-keyboard-response","8","11969","","","","","",""
"","visual-array-stimuli","9","12286","8","86,200,197,216,200,173,91,90,59,86,237,152,173,59,49,148","black,black,blue,purple,blue,purple,red,purple","","",""
"","html-keyboard-response","10","13198","","","","","",""
"18","visual-array-response","11","13219","","","","true","83","false"
"","html-keyboard-response","12","14236","","","","","",""
"","html-keyboard-response","13","15145","","","","","",""
"","visual-array-stimuli","14","15457","6","91,203,212,137,179,153,20,139,111,149,52,207","white,green,blue,blue,blue,yellow","","",""
"","html-keyboard-response","15","16362","","","","","",""
"1852","visual-array-response","16","18216","","","","false","83","true"
"","html-keyboard-response","17","19224","","","","","",""
"","html-keyboard-response","18","20129","","","","","",""
"","visual-array-stimuli","19","20435","8","92,203,149,238,233,92,154,141,120,75,184,34,183,193,126,156","yellow,white,black,green,yellow,blue,yellow,black","","",""
"","html-keyboard-response","20","21348","","","","","",""
"101","visual-array-response","21","21452","","","","true","83","false"
"","html-keyboard-response","22","22464","","","","","",""
"","html-keyboard-response","23","23377","","","","","",""
"","visual-array-stimuli","24","23691","4","82,198,70,37,158,82,183,142","white,red,green,blue","","",""
"","html-keyboard-response","25","24603","","","","","",""
"13","visual-array-response","26","24619","","","","false","83","true"
"","html-keyboard-response","27","25628","","","","","",""
"","html-keyboard-response","28","26533","","","","","",""
"","visual-array-stimuli","29","26847","6","120,75,178,104,106,116,91,56,35,73,56,168","yellow,black,white,blue,purple,green","","",""
"","html-keyboard-response","30","27757","","","","","",""
"102","visual-array-response","31","27861","","","","false","83","true"
"","html-keyboard-response","32","28878","","","","","",""
"","html-keyboard-response","33","29782","","","","","",""
"","visual-array-stimuli","34","30097","4","211,145,234,163,78,227,71,36","blue,green,black,black","","",""
"","html-keyboard-response","35","30997","","","","","",""
"51","visual-array-response","36","31050","","","","true","83","false"
"","html-keyboard-response","37","32050","","","","","",""
"","html-keyboard-response","38","32952","","","","","",""
"","visual-array-stimuli","39","33267","4","151,146,184,192,135,47,103,129","green,white,purple,blue","","",""
"","html-keyboard-response","40","34177","","","","","",""
"62","visual-array-response","41","34240","","","","true","83","false"
"","html-keyboard-response","42","35252","","","","","",""
"","html-keyboard-response","43","36153","","","","","",""
"","visual-array-stimuli","44","36460","6","116,106,184,130,239,137,148,109,20,122,195,78","yellow,yellow,yellow,purple,red,black","","",""
"","html-keyboard-response","45","37367","","","","","",""
"141","visual-array-response","46","37510","","","","true","83","false"
"","html-keyboard-response","47","38518","","","","","",""
"","html-keyboard-response","48","39434","","","","","",""
"","visual-array-stimuli","49","39748","8","33,76,103,208,184,67,116,153,167,204,78,148,96,86,165,25","yellow,green,yellow,white,green,yellow,red,yellow","","",""
"","html-keyboard-response","50","40661","","","","","",""
"19","visual-array-response","51","40683","","","","false","83","true"
"","html-keyboard-response","52","41703","","","","","",""
"","html-keyboard-response","53","42617","","","","","",""
"","visual-array-stimuli","54","42932","8","92,55,141,76,122,155,135,212,177,157,192,184,231,87,212,124","black,purple,blue,red,black,red,green,yellow","","",""
"","html-keyboard-response","55","43844","","","","","",""
"146","visual-array-response","56","43993","","","","false","83","true"
"","html-keyboard-response","57","45003","","","","","",""
"","html-keyboard-response","58","45920","","","","","",""
"","visual-array-stimuli","59","46235","6","145,238,71,223,234,96,184,121,121,184,75,138","blue,purple,blue,yellow,purple,blue","","",""
"","html-keyboard-response","60","47143","","","","","",""
"62","visual-array-response","61","47207","","","","true","83","false"
"","html-keyboard-response","62","48214","","","","","",""
"","fullscreen","63","49221","","","","","",""
"","html-keyboard-response","64","49322","","","","","",""
