"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"2773","survey-text","0","2774","","","","","",""
"","fullscreen","1","5207","","","","","",""
"1618","instructions","2","6825","","","","","",""
"","html-keyboard-response","3","7729","","","","","",""
"","visual-array-stimuli","4","8046","6","173,96,117,211,36,188,163,25,151,146,88,28","purple,black,yellow,green,purple,green","","",""
"","html-keyboard-response","5","8959","","","","","",""
"3","visual-array-response","6","8964","","","","false","83","true"
"","html-keyboard-response","7","9966","","","","","",""
"","html-keyboard-response","8","10878","","","","","",""
"","visual-array-stimuli","9","11193","4","199,175,32,181,148,150,96,173","green,blue,white,purple","","",""
"","html-keyboard-response","10","12107","","","","","",""
"127","visual-array-response","11","12235","","","","false","83","true"
"","html-keyboard-response","12","13250","","","","","",""
"","html-keyboard-response","13","14159","","","","","",""
"","visual-array-stimuli","14","14467","8","22,152,237,107,87,94,184,133,203,211,140,47,47,119,83,159","purple,yellow,green,purple,blue,red,purple,black","","",""
"","html-keyboard-response","15","15376","","","","","",""
"62","visual-array-response","16","15442","","","","true","75","true"
"","html-keyboard-response","17","16446","","","","","",""
"","html-keyboard-response","18","17361","","","","","",""
"","visual-array-stimuli","19","17677","8","167,26,126,212,88,93,142,183,54,94,68,186,225,185,207,101","purple,purple,blue,purple,yellow,red,yellow,black","","",""
"","html-keyboard-response","20","18587","","","","","",""
"102","visual-array-response","21","18692","","","","true","75","true"
"","html-keyboard-response","22","19703","","","","","",""
"","html-keyboard-response","23","20617","","","","","",""
"","visual-array-stimuli","24","20934","4","98,53,188,189,130,20,167,233","white,yellow,yellow,yellow","","",""
"","html-keyboard-response","25","21839","","","","","",""
"338","visual-array-response","26","22178","","","","false","83","true"
"","html-keyboard-response","27","23188","","","","","",""
"","html-keyboard-response","28","24101","","","","","",""
"","visual-array-stimuli","29","24420","6","224,186,134,184,185,68,22,109,47,134,33,183","yellow,red,purple,white,yellow,blue","","",""
"","html-keyboard-response","30","25322","","","","","",""
"118","visual-array-response","31","25444","","","","false","75","false"
"","html-keyboard-response","32","26451","","","","","",""
"","html-keyboard-response","33","27359","","","","","",""
"","visual-array-stimuli","34","27675","6","65,41,171,93,113,151,239,118,31,178,48,146","yellow,blue,purple,black,purple,purple","","",""
"","html-keyboard-response","35","28586","","","","","",""
"1172","visual-array-response","36","29761","","","","true","83","false"
"","html-keyboard-response","37","30772","","","","","",""
"","html-keyboard-response","38","31684","","","","","",""
"","visual-array-stimuli","39","32000","4","84,199,119,105,206,50,85,230","purple,yellow,yellow,yellow","","",""
"","html-keyboard-response","40","32912","","","","","",""
"288","visual-array-response","41","33201","","","","false","75","false"
"","html-keyboard-response","42","34203","","","","","",""
"","html-keyboard-response","43","35115","","","","","",""
"","visual-array-stimuli","44","35428","4","127,47,175,98,37,189,228,179","green,black,black,white","","",""
"","html-keyboard-response","45","36344","","","","","",""
"63","visual-array-response","46","36409","","","","false","75","false"
"","html-keyboard-response","47","37417","","","","","",""
"","html-keyboard-response","48","38329","","","","","",""
"","visual-array-stimuli","49","38645","8","156,23,120,104,178,228,50,53,230,174,184,126,24,160,172,58","red,black,purple,purple,red,yellow,white,red","","",""
"","html-keyboard-response","50","39553","","","","","",""
"185","visual-array-response","51","39741","","","","false","75","false"
"","html-keyboard-response","52","40751","","","","","",""
"","html-keyboard-response","53","41663","","","","","",""
"","visual-array-stimuli","54","41975","6","171,28,21,145,137,104,36,71,86,96,84,160","red,blue,blue,white,blue,green","","",""
"","html-keyboard-response","55","42889","","","","","",""
"23","visual-array-response","56","42914","","","","false","83","true"
"","html-keyboard-response","57","43924","","","","","",""
"","html-keyboard-response","58","44834","","","","","",""
"","visual-array-stimuli","59","45147","8","21,149,79,108,189,71,167,26,93,171,59,45,53,97,130,47","red,black,red,blue,blue,yellow,black,red","","",""
"","html-keyboard-response","60","46051","","","","","",""
"84","visual-array-response","61","46138","","","","false","75","false"
"","html-keyboard-response","62","47151","","","","","",""
"","fullscreen","63","48163","","","","","",""
"","html-keyboard-response","64","48272","","","","","",""
