"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"4748","survey-text","0","4751","","","","","",""
"","fullscreen","1","8258","","","","","",""
"1391","instructions","2","9650","","","","","",""
"","html-keyboard-response","3","10566","","","","","",""
"","visual-array-stimuli","4","10878","4","105,80,135,20,237,154,151,145","yellow,white,white,yellow","","",""
"","html-keyboard-response","5","11781","","","","","",""
"127","visual-array-response","6","11910","","","","false","83","true"
"","html-keyboard-response","7","12926","","","","","",""
"","html-keyboard-response","8","13838","","","","","",""
"","visual-array-stimuli","9","14147","6","128,156,135,212,71,36,55,167,231,88,208,156","yellow,black,blue,yellow,green,black","","",""
"","html-keyboard-response","10","15052","","","","","",""
"102","visual-array-response","11","15157","","","","true","83","false"
"","html-keyboard-response","12","16170","","","","","",""
"","html-keyboard-response","13","17086","","","","","",""
"","visual-array-stimuli","14","17402","6","105,119,130,130,20,126,140,212,71,223,96,86","red,blue,green,green,white,blue","","",""
"","html-keyboard-response","15","18305","","","","","",""
"51","visual-array-response","16","18359","","","","false","83","true"
"","html-keyboard-response","17","19375","","","","","",""
"","html-keyboard-response","18","20291","","","","","",""
"","visual-array-stimuli","19","20606","4","92,56,126,20,147,150,96,234","yellow,black,yellow,purple","","",""
"","html-keyboard-response","20","21507","","","","","",""
"60","visual-array-response","21","21569","","","","true","83","false"
"","html-keyboard-response","22","22575","","","","","",""
"","html-keyboard-response","23","23490","","","","","",""
"","visual-array-stimuli","24","23799","8","64,180,42,63,140,47,156,81,217,196,183,140,239,124,49,205","white,black,white,green,red,black,white,black","","",""
"","html-keyboard-response","25","24701","","","","","",""
"100","visual-array-response","26","24804","","","","false","83","true"
"","html-keyboard-response","27","25822","","","","","",""
"","html-keyboard-response","28","26732","","","","","",""
"","visual-array-stimuli","29","27049","8","114,108,125,47,149,181,185,68,212,125,213,202,44,199,110,78","purple,red,white,purple,white,yellow,black,blue","","",""
"","html-keyboard-response","30","27960","","","","","",""
"59","visual-array-response","31","28022","","","","true","83","false"
"","html-keyboard-response","32","29039","","","","","",""
"","html-keyboard-response","33","29951","","","","","",""
"","visual-array-stimuli","34","30267","4","141,20,130,130,103,178,141,47","yellow,purple,yellow,black","","",""
"","html-keyboard-response","35","31182","","","","","",""
"47","visual-array-response","36","31230","","","","false","83","true"
"","html-keyboard-response","37","32244","","","","","",""
"","html-keyboard-response","38","33156","","","","","",""
"","visual-array-stimuli","39","33469","8","65,218,130,156,211,145,175,60,145,107,130,130,221,68,147,211","black,white,yellow,yellow,black,blue,blue,green","","",""
"","html-keyboard-response","40","34383","","","","","",""
"169","visual-array-response","41","34555","","","","false","83","true"
"","html-keyboard-response","42","35574","","","","","",""
"","html-keyboard-response","43","36488","","","","","",""
"","visual-array-stimuli","44","36803","6","100,207,88,231,139,75,22,107,127,47,120,184","purple,red,green,white,purple,yellow","","",""
"","html-keyboard-response","45","37714","","","","","",""
"161","visual-array-response","46","37877","","","","true","83","false"
"","html-keyboard-response","47","38895","","","","","",""
"","html-keyboard-response","48","39807","","","","","",""
"","visual-array-stimuli","49","40123","8","179,228,124,103,231,172,193,76,104,178,122,75,130,130,212,136","white,purple,green,white,black,white,green,blue","","",""
"","html-keyboard-response","50","41040","","","","","",""
"240","visual-array-response","51","41284","","","","true","83","false"
"","html-keyboard-response","52","42301","","","","","",""
"","html-keyboard-response","53","43211","","","","","",""
"","visual-array-stimuli","54","43517","6","207,160,105,118,160,235,23,103,228,81,131,212","blue,white,yellow,red,white,red","","",""
"","html-keyboard-response","55","44427","","","","","",""
"36","visual-array-response","56","44465","","","","false","83","true"
"","html-keyboard-response","57","45478","","","","","",""
"","html-keyboard-response","58","46389","","","","","",""
"","visual-array-stimuli","59","46706","4","212,117,122,239,88,166,171,93","white,blue,blue,purple","","",""
"","html-keyboard-response","60","47618","","","","","",""
"112","visual-array-response","61","47731","","","","true","83","false"
"","html-keyboard-response","62","48747","","","","","",""
"","fullscreen","63","49755","","","","","",""
"","html-keyboard-response","64","49865","","","","","",""
