"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"5769","survey-text","0","5771","","","","","",""
"","fullscreen","1","8099","","","","","",""
"2862","instructions","2","10961","","","","","",""
"","html-keyboard-response","3","11862","","","","","",""
"","visual-array-stimuli","4","12165","6","181,65,112,150,133,20,50,107,212,120,56,211","green,red,red,red,yellow,black","","",""
"","html-keyboard-response","5","13083","","","","","",""
"154","visual-array-response","6","13239","","","","true","83","false"
"","html-keyboard-response","7","14254","","","","","",""
"","html-keyboard-response","8","15168","","","","","",""
"","visual-array-stimuli","9","15483","8","127,75,20,141,87,58,194,218,210,150,120,155,150,49,109,210","purple,yellow,blue,green,blue,purple,purple,purple","","",""
"","html-keyboard-response","10","16383","","","","","",""
"83","visual-array-response","11","16472","","","","false","83","true"
"","html-keyboard-response","12","17491","","","","","",""
"","html-keyboard-response","13","18404","","","","","",""
"","visual-array-stimuli","14","18718","4","33,183,131,20,208,104,77,113","purple,white,white,white","","",""
"","html-keyboard-response","15","19628","","","","","",""
"100","visual-array-response","16","19730","","","","true","83","false"
"","html-keyboard-response","17","20742","","","","","",""
"","html-keyboard-response","18","21656","","","","","",""
"","visual-array-stimuli","19","21972","4","115,183,144,76,141,105,21,149","black,white,red,black","","",""
"","html-keyboard-response","20","22876","","","","","",""
"158","visual-array-response","21","23037","","","","false","83","true"
"","html-keyboard-response","22","24040","","","","","",""
"","html-keyboard-response","23","24946","","","","","",""
"","visual-array-stimuli","24","25262","4","239,143,205,210,31,80,152,209","green,black,blue,yellow","","",""
"","html-keyboard-response","25","26175","","","","","",""
"158","visual-array-response","26","26334","","","","false","83","true"
"","html-keyboard-response","27","27338","","","","","",""
"","html-keyboard-response","28","28252","","","","","",""
"","visual-array-stimuli","29","28565","6","146,108,179,228,165,87,48,146,159,176,145,48","white,blue,green,red,black,purple","","",""
"","html-keyboard-response","30","29487","","","","","",""
"816","visual-array-response","31","30308","","","","false","83","true"
"","html-keyboard-response","32","31324","","","","","",""
"","html-keyboard-response","33","32228","","","","","",""
"","visual-array-stimuli","34","32536","4","103,81,211,56,59,173,92,170","yellow,purple,yellow,black","","",""
"","html-keyboard-response","35","33439","","","","","",""
"317","visual-array-response","36","33758","","","","true","83","false"
"","html-keyboard-response","37","34778","","","","","",""
"","html-keyboard-response","38","35692","","","","","",""
"","visual-array-stimuli","39","36007","8","163,205,149,21,127,47,75,135,75,34,118,183,141,76,214,59","green,yellow,green,black,red,red,yellow,red","","",""
"","html-keyboard-response","40","36922","","","","","",""
"367","visual-array-response","41","37293","","","","false","83","true"
"","html-keyboard-response","42","38305","","","","","",""
"","html-keyboard-response","43","39215","","","","","",""
"","visual-array-stimuli","44","39530","6","208,156,156,51,67,75,135,212,46,57,232,169","blue,white,black,green,green,red","","",""
"","html-keyboard-response","45","40446","","","","","",""
"17","visual-array-response","46","40465","","","","true","83","false"
"","html-keyboard-response","47","41474","","","","","",""
"","html-keyboard-response","48","42384","","","","","",""
"","visual-array-stimuli","49","42699","6","124,212,44,199,192,75,27,90,130,75,109,237","yellow,red,yellow,red,blue,yellow","","",""
"","html-keyboard-response","50","43617","","","","","",""
"30","visual-array-response","51","43650","","","","false","83","true"
"","html-keyboard-response","52","44660","","","","","",""
"","html-keyboard-response","53","45573","","","","","",""
"","visual-array-stimuli","54","45891","8","203,168,216,197,154,118,71,36,168,56,168,169,76,66,130,130","purple,purple,white,black,green,blue,blue,yellow","","",""
"","html-keyboard-response","55","46806","","","","","",""
"39","visual-array-response","56","46850","","","","true","83","false"
"","html-keyboard-response","57","47862","","","","","",""
"","html-keyboard-response","58","48777","","","","","",""
"","visual-array-stimuli","59","49091","8","167,203,48,203,103,125,231,88,216,197,104,208,145,21,212,123","white,yellow,red,yellow,yellow,red,blue,black","","",""
"","html-keyboard-response","60","50006","","","","","",""
"78","visual-array-response","61","50088","","","","false","75","false"
"","html-keyboard-response","62","51107","","","","","",""
"","fullscreen","63","52118","","","","","",""
"","html-keyboard-response","64","52221","","","","","",""
