"rt","trial_type","trial_index","time_elapsed","set_size","locations","colours","correct","key_press","target_different"
"3568","survey-text","0","3570","","","","","",""
"","fullscreen","1","5786","","","","","",""
"1575","instructions","2","7361","","","","","",""
"","html-keyboard-response","3","8271","","","","","",""
"","visual-array-stimuli","4","8585","6","232,90,209,154,168,203,100,176,234,165,183,144","purple,green,black,blue,black,blue","","",""
"","html-keyboard-response","5","9492","","","","","",""
"133","visual-array-response","6","9627","","","","false","75","false"
"","html-keyboard-response","7","10643","","","","","",""
"","html-keyboard-response","8","11556","","","","","",""
"","visual-array-stimuli","9","11872","8","96,53,20,143,118,183,99,207,172,28,177,157,128,103,187,70","white,yellow,blue,white,white,black,black,black","","",""
"","html-keyboard-response","10","12780","","","","","",""
"98","visual-array-response","11","12881","","","","true","75","true"
"","html-keyboard-response","12","13901","","","","","",""
"","html-keyboard-response","13","14817","","","","","",""
"","visual-array-stimuli","14","15132","4","145,108,81,155,120,75,206,162","white,white,blue,black","","",""
"","html-keyboard-response","15","16041","","","","","",""
"22","visual-array-response","16","16064","","","","true","83","false"
"","html-keyboard-response","17","17080","","","","","",""
"","html-keyboard-response","18","17995","","","","","",""
"","visual-array-stimuli","19","18307","6","79,150,126,47,165,172,60,44,128,239,169,27","red,green,blue,black,blue,green","","",""
"","html-keyboard-response","20","19213","","","","","",""
"45","visual-array-response","21","19260","","","","true","75","true"
"","html-keyboard-response","22","20274","","","","","",""
"","html-keyboard-response","23","21185","","","","","",""
"","visual-array-stimuli","24","21500","8","118,47,22,105,97,24,63,80,100,176,205,49,104,121,159,83","white,blue,yellow,black,green,green,yellow,blue","","",""
"","html-keyboard-response","25","22414","","","","","",""
"75","visual-array-response","26","22493","","","","true","75","true"
"","html-keyboard-response","27","23504","","","","","",""
"","html-keyboard-response","28","24412","","","","","",""
"","visual-array-stimuli","29","24715","6","207,100,159,207,87,231,37,70,102,82,118,105","black,yellow,red,white,red,red","","",""
"","html-keyboard-response","30","25627","","","","","",""
"75","visual-array-response","31","25705","","","","false","75","false"
"","html-keyboard-response","32","26713","","","","","",""
"","html-keyboard-response","33","27627","","","","","",""
"","visual-array-stimuli","34","27938","4","174,162,156,51,85,162,174,230","purple,black,purple,purple","","",""
"","html-keyboard-response","35","28853","","","","","",""
"176","visual-array-response","36","29032","","","","false","83","true"
"","html-keyboard-response","37","30048","","","","","",""
"","html-keyboard-response","38","30962","","","","","",""
"","visual-array-stimuli","39","31275","6","101,207,39,193,191,186,52,52,239,139,158,52","white,green,black,purple,green,yellow","","",""
"","html-keyboard-response","40","32178","","","","","",""
"71","visual-array-response","41","32251","","","","false","83","true"
"","html-keyboard-response","42","33265","","","","","",""
"","html-keyboard-response","43","34181","","","","","",""
"","visual-array-stimuli","44","34496","4","48,117,135,20,81,62,22,105","purple,black,white,blue","","",""
"","html-keyboard-response","45","35412","","","","","",""
"101","visual-array-response","46","35515","","","","false","75","false"
"","html-keyboard-response","47","36522","","","","","",""
"","html-keyboard-response","48","37428","","","","","",""
"","visual-array-stimuli","49","37745","4","197,178,174,29,148,49,172,94","green,purple,black,white","","",""
"","html-keyboard-response","50","38658","","","","","",""
"67","visual-array-response","51","38727","","","","true","75","true"
"","html-keyboard-response","52","39741","","","","","",""
"","html-keyboard-response","53","40653","","","","","",""
"","visual-array-stimuli","54","40969","8","73,68,134,156,189,37,94,205,212,133,133,47,130,130,186,191","black,green,yellow,purple,yellow,blue,purple,blue","","",""
"","html-keyboard-response","55","41870","","","","","",""
"146","visual-array-response","56","42019","","","","false","75","false"
"","html-keyboard-response","57","43023","","","","","",""
"","html-keyboard-response","58","43932","","","","","",""
"","visual-array-stimuli","59","44252","8","60,84,199,175,165,234,226,76,211,112,130,130,22,109,104,81","green,yellow,blue,black,white,white,blue,red","","",""
"","html-keyboard-response","60","45164","","","","","",""
"108","visual-array-response","61","45276","","","","true","83","false"
"","html-keyboard-response","62","46290","","","","","",""
"","fullscreen","63","47298","","","","","",""
"","html-keyboard-response","64","47408","","","","","",""
